Timestamp,Elapsed_Seconds,RPM
2026-07-22 16:55:17.629,0.250,0.00
2026-07-22 16:55:17.880,0.501,0.00
2026-07-22 16:55:18.130,0.751,0.00
2026-07-22 16:55:18.381,1.002,0.00
2026-07-22 16:55:18.631,1.252,0.00
2026-07-22 16:55:18.881,1.502,0.00
2026-07-22 16:55:19.132,1.753,0.00
2026-07-22 16:55:19.382,2.003,0.00
2026-07-22 16:55:19.632,2.253,0.00
2026-07-22 16:55:19.883,2.504,0.00
2026-07-22 16:55:20.133,2.754,0.00
2026-07-22 16:55:20.383,3.004,0.00
2026-07-22 16:55:20.634,3.255,0.00
2026-07-22 16:55:20.884,3.505,0.00
2026-07-22 16:55:21.134,3.755,0.00
2026-07-22 16:55:21.385,4.006,0.00
2026-07-22 16:55:21.635,4.256,0.00
2026-07-22 16:55:21.885,4.506,0.00
2026-07-22 16:55:22.136,4.757,0.00
2026-07-22 16:55:22.386,5.007,0.00
2026-07-22 16:55:22.637,5.258,0.00
2026-07-22 16:55:22.888,5.509,0.00
2026-07-22 16:55:23.138,5.759,0.00
2026-07-22 16:55:23.389,6.010,0.00
2026-07-22 16:55:23.639,6.260,0.00
2026-07-22 16:55:23.890,6.511,0.00
2026-07-22 16:55:24.140,6.761,0.00
2026-07-22 16:55:24.391,7.012,0.00
2026-07-22 16:55:24.641,7.262,0.00
2026-07-22 16:55:24.892,7.513,0.00
2026-07-22 16:55:25.142,7.763,0.00
2026-07-22 16:55:25.393,8.014,0.00
2026-07-22 16:55:25.643,8.264,0.00
2026-07-22 16:55:25.894,8.515,0.00
2026-07-22 16:55:26.144,8.765,0.00
2026-07-22 16:55:26.394,9.015,0.00
2026-07-22 16:55:26.645,9.266,0.00
2026-07-22 16:55:26.895,9.516,0.00
2026-07-22 16:55:27.145,9.766,0.00
2026-07-22 16:55:27.396,10.017,0.00
2026-07-22 16:55:27.646,10.267,0.00
2026-07-22 16:55:27.896,10.517,0.00
2026-07-22 16:55:28.147,10.768,0.00
2026-07-22 16:55:28.397,11.018,0.00
2026-07-22 16:55:28.647,11.268,0.00
2026-07-22 16:55:28.898,11.519,0.00
2026-07-22 16:55:29.148,11.769,0.00
2026-07-22 16:55:29.398,12.019,0.00
2026-07-22 16:55:29.649,12.270,0.00
2026-07-22 16:55:29.899,12.520,0.00
2026-07-22 16:55:30.149,12.770,0.00
2026-07-22 16:55:30.400,13.021,0.00
2026-07-22 16:55:30.650,13.271,0.00
2026-07-22 16:55:30.900,13.521,0.00
2026-07-22 16:55:31.151,13.772,0.00
2026-07-22 16:55:31.401,14.022,0.00
2026-07-22 16:55:31.652,14.273,0.24
2026-07-22 16:55:31.902,14.523,31.68
2026-07-22 16:55:32.153,14.774,76.56
2026-07-22 16:55:32.403,15.024,118.56
2026-07-22 16:55:32.654,15.275,109.20
2026-07-22 16:55:32.904,15.525,113.04
2026-07-22 16:55:33.155,15.776,110.16
2026-07-22 16:55:33.405,16.026,113.52
2026-07-22 16:55:33.656,16.277,127.44
2026-07-22 16:55:33.906,16.527,185.52
2026-07-22 16:55:34.157,16.778,223.92
2026-07-22 16:55:34.407,17.028,238.08
2026-07-22 16:55:34.658,17.279,246.48
2026-07-22 16:55:34.908,17.529,240.24
2026-07-22 16:55:35.158,17.779,238.32
2026-07-22 16:55:35.409,18.030,219.84
2026-07-22 16:55:35.659,18.280,240.48
2026-07-22 16:55:35.909,18.530,342.24
2026-07-22 16:55:36.160,18.781,426.24
2026-07-22 16:55:36.410,19.031,427.92
2026-07-22 16:55:36.660,19.281,421.44
2026-07-22 16:55:36.911,19.532,426.72
2026-07-22 16:55:37.161,19.782,429.12
2026-07-22 16:55:37.411,20.032,429.60
2026-07-22 16:55:37.662,20.283,434.16
2026-07-22 16:55:37.912,20.533,457.92
2026-07-22 16:55:38.163,20.783,461.28
2026-07-22 16:55:38.413,21.034,451.92
2026-07-22 16:55:38.663,21.284,462.00
2026-07-22 16:55:38.914,21.535,448.32
2026-07-22 16:55:39.164,21.785,459.84
2026-07-22 16:55:39.415,22.036,446.40
2026-07-22 16:55:39.665,22.286,473.28
2026-07-22 16:55:39.916,22.537,507.60
2026-07-22 16:55:40.166,22.787,522.48
2026-07-22 16:55:40.417,23.038,522.72
2026-07-22 16:55:40.668,23.289,516.96
2026-07-22 16:55:40.918,23.539,517.68
2026-07-22 16:55:41.169,23.789,510.96
2026-07-22 16:55:41.419,24.040,523.20
2026-07-22 16:55:41.670,24.291,529.44
2026-07-22 16:55:41.920,24.541,567.60
2026-07-22 16:55:42.170,24.791,577.92
2026-07-22 16:55:42.421,25.042,563.52
2026-07-22 16:55:42.671,25.292,571.44
2026-07-22 16:55:42.921,25.542,562.56
2026-07-22 16:55:43.174,25.795,568.80
2026-07-22 16:55:43.424,26.045,561.12
2026-07-22 16:55:43.674,26.295,582.48
2026-07-22 16:55:43.925,26.546,611.76
2026-07-22 16:55:44.175,26.796,610.08
2026-07-22 16:55:44.425,27.046,596.64
2026-07-22 16:55:44.676,27.296,603.36
2026-07-22 16:55:44.926,27.547,611.76
2026-07-22 16:55:45.177,27.797,608.64
2026-07-22 16:55:45.427,28.048,603.12
2026-07-22 16:55:45.677,28.298,615.36
2026-07-22 16:55:45.928,28.548,659.76
2026-07-22 16:55:46.178,28.799,649.92
2026-07-22 16:55:46.428,29.049,642.96
2026-07-22 16:55:46.679,29.299,645.12
2026-07-22 16:55:46.929,29.550,637.92
2026-07-22 16:55:47.179,29.800,636.72
2026-07-22 16:55:47.430,30.051,634.32
2026-07-22 16:55:47.680,30.301,645.12
2026-07-22 16:55:47.930,30.551,663.12
2026-07-22 16:55:48.181,30.802,650.88
2026-07-22 16:55:48.431,31.052,649.92
2026-07-22 16:55:48.681,31.302,639.60
2026-07-22 16:55:48.932,31.553,647.28
2026-07-22 16:55:49.182,31.803,657.12
2026-07-22 16:55:49.432,32.053,655.92
2026-07-22 16:55:49.683,32.304,652.80
2026-07-22 16:55:49.933,32.554,656.16
2026-07-22 16:55:50.183,32.804,658.08
2026-07-22 16:55:50.434,33.055,661.68
2026-07-22 16:55:50.684,33.305,641.28
2026-07-22 16:55:50.934,33.555,647.52
2026-07-22 16:55:51.185,33.806,646.32
2026-07-22 16:55:51.435,34.056,636.48
2026-07-22 16:55:51.685,34.306,636.96
2026-07-22 16:55:51.948,34.569,620.40
2026-07-22 16:55:52.198,34.819,628.08
2026-07-22 16:55:52.449,35.070,645.36
2026-07-22 16:55:52.700,35.321,640.08
2026-07-22 16:55:52.950,35.571,626.64
2026-07-22 16:55:53.200,35.821,625.92
2026-07-22 16:55:53.451,36.072,595.92
2026-07-22 16:55:53.701,36.322,621.36
2026-07-22 16:55:53.951,36.572,632.40
2026-07-22 16:55:54.202,36.823,643.68
2026-07-22 16:55:54.452,37.073,645.12
2026-07-22 16:55:54.702,37.323,648.72
2026-07-22 16:55:54.953,37.574,654.72
2026-07-22 16:55:55.203,37.824,632.64
2026-07-22 16:55:55.453,38.074,634.08
2026-07-22 16:55:55.704,38.325,399.36
2026-07-22 16:55:55.954,38.575,10.80
2026-07-22 16:55:56.204,38.825,0.24
2026-07-22 16:55:56.455,39.076,0.00
2026-07-22 16:55:56.705,39.326,0.00
2026-07-22 16:55:56.957,39.577,0.00
2026-07-22 16:55:57.207,39.828,0.00
2026-07-22 16:55:57.457,40.078,0.00
2026-07-22 16:55:57.708,40.328,0.00
2026-07-22 16:55:57.958,40.579,0.00
2026-07-22 16:55:58.209,40.829,0.00
2026-07-22 16:55:58.459,41.080,0.00
2026-07-22 16:55:58.711,41.332,0.00
2026-07-22 16:55:58.962,41.583,0.00
2026-07-22 16:55:59.212,41.833,0.00
2026-07-22 16:55:59.462,42.083,0.00
2026-07-22 16:55:59.713,42.334,0.00
2026-07-22 16:55:59.963,42.584,0.00
2026-07-22 16:56:00.214,42.834,0.00
2026-07-22 16:56:00.464,43.085,0.00
2026-07-22 16:56:00.714,43.335,0.00
2026-07-22 16:56:00.965,43.586,0.00
2026-07-22 16:56:01.215,43.836,0.00
2026-07-22 16:56:01.465,44.086,0.00
2026-07-22 16:56:01.716,44.337,0.00
2026-07-22 16:56:01.967,44.588,0.00
2026-07-22 16:56:02.218,44.839,0.00
2026-07-22 16:56:02.468,45.089,0.00
2026-07-22 16:56:02.718,45.339,0.00
2026-07-22 16:56:02.969,45.590,0.00
2026-07-22 16:56:03.219,45.840,0.00
