Timestamp,RPM
2026-07-22 15:30:57.351,0.00
2026-07-22 15:30:57.602,0.00
2026-07-22 15:30:57.852,0.00
2026-07-22 15:30:58.102,0.00
2026-07-22 15:30:58.353,0.00
2026-07-22 15:30:58.603,0.00
2026-07-22 15:30:58.854,0.00
2026-07-22 15:30:59.104,0.00
2026-07-22 15:30:59.354,0.00
2026-07-22 15:30:59.608,0.00
2026-07-22 15:30:59.858,0.00
2026-07-22 15:31:00.109,0.00
2026-07-22 15:31:00.359,4.80
2026-07-22 15:31:00.609,23.52
2026-07-22 15:31:00.860,25.92
2026-07-22 15:31:01.110,8.40
2026-07-22 15:31:01.360,29.28
2026-07-22 15:31:01.611,0.00
2026-07-22 15:31:01.861,0.00
2026-07-22 15:31:02.112,0.00
2026-07-22 15:31:02.362,0.00
