Timestamp,Elapsed_Seconds,RPM
2026-07-22 15:31:59.852,0.250,0.00
2026-07-22 15:32:00.102,0.501,0.00
2026-07-22 15:32:00.353,0.751,0.00
2026-07-22 15:32:00.603,1.002,0.00
2026-07-22 15:32:00.853,1.252,0.00
2026-07-22 15:32:01.104,1.502,0.00
2026-07-22 15:32:01.354,1.753,0.00
2026-07-22 15:32:01.604,2.003,0.00
2026-07-22 15:32:01.855,2.253,0.00
2026-07-22 15:32:02.105,2.504,0.00
2026-07-22 15:32:02.355,2.754,0.00
2026-07-22 15:32:02.606,3.004,0.24
2026-07-22 15:32:02.856,3.255,5.52
2026-07-22 15:32:03.107,3.505,2.40
2026-07-22 15:32:03.357,3.756,6.48
2026-07-22 15:32:03.608,4.006,8.64
2026-07-22 15:32:03.858,4.257,10.80
2026-07-22 15:32:04.109,4.508,12.48
2026-07-22 15:32:04.359,4.758,17.52
2026-07-22 15:32:04.610,5.008,15.60
2026-07-22 15:32:04.860,5.259,13.44
2026-07-22 15:32:05.110,5.509,17.04
2026-07-22 15:32:05.361,5.759,18.00
2026-07-22 15:32:05.611,6.010,16.08
2026-07-22 15:32:05.861,6.260,15.36
2026-07-22 15:32:06.112,6.510,6.48
2026-07-22 15:32:06.362,6.761,0.24
2026-07-22 15:32:06.612,7.011,0.00
2026-07-22 15:32:06.863,7.261,0.00
2026-07-22 15:32:07.113,7.512,0.00
2026-07-22 15:32:07.363,7.762,0.00
2026-07-22 15:32:07.614,8.012,0.00
