Timestamp,RPM
2026-07-22 15:30:04.616,0.00
2026-07-22 15:30:04.866,0.00
2026-07-22 15:30:05.117,0.00
2026-07-22 15:30:05.367,0.00
2026-07-22 15:30:05.617,0.00
2026-07-22 15:30:05.868,0.00
2026-07-22 15:30:06.118,0.00
2026-07-22 15:30:06.368,0.00
2026-07-22 15:30:06.619,0.00
2026-07-22 15:30:06.869,0.00
2026-07-22 15:30:07.120,0.00
2026-07-22 15:30:07.370,0.00
2026-07-22 15:30:07.620,0.00
2026-07-22 15:30:07.871,0.00
2026-07-22 15:30:08.121,0.00
2026-07-22 15:30:08.371,0.00
2026-07-22 15:30:08.622,0.00
2026-07-22 15:30:08.872,8.40
2026-07-22 15:30:09.122,32.16
2026-07-22 15:30:09.373,0.48
2026-07-22 15:30:09.623,24.48
2026-07-22 15:30:09.874,10.80
2026-07-22 15:30:10.124,5.04
2026-07-22 15:30:10.374,0.00
2026-07-22 15:30:10.624,1.44
2026-07-22 15:30:10.875,12.72
2026-07-22 15:30:11.125,14.88
2026-07-22 15:30:11.376,24.24
2026-07-22 15:30:11.626,42.24
2026-07-22 15:30:11.876,1.68
2026-07-22 15:30:12.127,32.40
2026-07-22 15:30:12.377,29.28
2026-07-22 15:30:12.628,15.84
2026-07-22 15:30:12.878,47.04
2026-07-22 15:30:13.129,0.24
2026-07-22 15:30:13.379,0.00
2026-07-22 15:30:13.629,0.00
2026-07-22 15:30:13.880,0.00
2026-07-22 15:30:14.130,0.00
