Timestamp,Elapsed_Seconds,RPM
2026-07-22 15:33:23.442,0.250,0.00
2026-07-22 15:33:23.692,0.501,0.00
2026-07-22 15:33:23.942,0.751,0.00
2026-07-22 15:33:24.193,1.001,0.00
2026-07-22 15:33:24.443,1.252,0.00
2026-07-22 15:33:24.693,1.502,0.00
2026-07-22 15:33:24.944,1.752,0.00
2026-07-22 15:33:25.194,2.003,0.00
2026-07-22 15:33:25.444,2.253,0.00
2026-07-22 15:33:25.695,2.503,0.00
2026-07-22 15:33:25.945,2.754,0.00
2026-07-22 15:33:26.195,3.004,0.00
2026-07-22 15:33:26.446,3.254,0.00
2026-07-22 15:33:26.696,3.505,0.00
2026-07-22 15:33:26.946,3.755,0.00
2026-07-22 15:33:27.197,4.005,0.00
2026-07-22 15:33:27.447,4.256,0.00
2026-07-22 15:33:27.697,4.506,0.00
2026-07-22 15:33:27.948,4.756,86.16
2026-07-22 15:33:28.198,5.007,387.84
2026-07-22 15:33:28.449,5.257,435.84
2026-07-22 15:33:28.699,5.508,408.48
2026-07-22 15:33:28.949,5.758,420.48
2026-07-22 15:33:29.200,6.008,426.48
2026-07-22 15:33:29.450,6.259,397.68
2026-07-22 15:33:29.700,6.509,422.16
2026-07-22 15:33:29.951,6.759,405.12
2026-07-22 15:33:30.201,7.010,433.92
2026-07-22 15:33:30.452,7.260,397.68
2026-07-22 15:33:30.702,7.511,423.60
2026-07-22 15:33:30.952,7.761,429.84
2026-07-22 15:33:31.203,8.011,389.76
2026-07-22 15:33:31.453,8.262,426.48
2026-07-22 15:33:31.703,8.512,425.04
2026-07-22 15:33:31.954,8.762,401.04
2026-07-22 15:33:32.204,9.013,426.48
2026-07-22 15:33:32.454,9.263,410.16
2026-07-22 15:33:32.705,9.514,423.60
2026-07-22 15:33:32.956,9.764,128.88
2026-07-22 15:33:33.206,10.015,0.00
2026-07-22 15:33:33.456,10.265,0.00
2026-07-22 15:33:33.707,10.515,0.00
2026-07-22 15:33:33.957,10.766,0.00
2026-07-22 15:33:34.207,11.016,0.00
2026-07-22 15:33:34.458,11.266,0.00
2026-07-22 15:33:34.708,11.517,0.00
2026-07-22 15:33:34.958,11.767,0.00
2026-07-22 15:33:35.209,12.017,0.00
2026-07-22 15:33:35.459,12.268,0.00
2026-07-22 15:33:35.710,12.518,0.00
2026-07-22 15:33:35.960,12.769,0.00
2026-07-22 15:33:36.211,13.019,0.00
2026-07-22 15:33:36.461,13.270,0.00
2026-07-22 15:33:36.712,13.520,0.00
2026-07-22 15:33:36.962,13.771,0.00
2026-07-22 15:33:37.213,14.021,0.00
2026-07-22 15:33:37.463,14.272,0.00
2026-07-22 15:33:37.713,14.522,0.00
2026-07-22 15:33:37.964,14.772,6.24
2026-07-22 15:33:38.214,15.023,11.28
2026-07-22 15:33:38.464,15.273,57.12
2026-07-22 15:33:38.715,15.523,1.68
2026-07-22 15:33:38.965,15.774,0.24
2026-07-22 15:33:39.215,16.024,39.84
2026-07-22 15:33:39.466,16.274,72.48
2026-07-22 15:33:39.716,16.524,5.04
2026-07-22 15:33:39.966,16.775,2.88
2026-07-22 15:33:40.216,17.025,59.04
2026-07-22 15:33:40.467,17.275,64.56
2026-07-22 15:33:40.717,17.526,1.92
2026-07-22 15:33:40.967,17.776,8.40
2026-07-22 15:33:41.218,18.026,60.96
2026-07-22 15:33:41.468,18.277,10.56
2026-07-22 15:33:41.718,18.527,0.00
2026-07-22 15:33:41.969,18.777,8.64
2026-07-22 15:33:42.219,19.028,27.60
2026-07-22 15:33:42.470,19.278,0.00
2026-07-22 15:33:42.720,19.529,3.12
2026-07-22 15:33:42.970,19.779,18.48
2026-07-22 15:33:43.221,20.030,48.00
2026-07-22 15:33:43.472,20.280,0.00
2026-07-22 15:33:43.722,20.531,47.04
2026-07-22 15:33:43.973,20.781,76.08
2026-07-22 15:33:44.223,21.032,0.96
2026-07-22 15:33:44.474,21.282,9.84
2026-07-22 15:33:44.724,21.533,103.44
2026-07-22 15:33:44.974,21.783,29.04
2026-07-22 15:33:45.225,22.033,1.92
2026-07-22 15:33:45.475,22.284,84.72
2026-07-22 15:33:45.725,22.534,48.24
2026-07-22 15:33:45.976,22.784,0.96
2026-07-22 15:33:46.226,23.035,71.04
2026-07-22 15:33:46.476,23.285,62.40
2026-07-22 15:33:46.727,23.535,0.96
2026-07-22 15:33:46.977,23.786,6.96
2026-07-22 15:33:47.227,24.036,0.00
2026-07-22 15:33:47.478,24.286,0.48
2026-07-22 15:33:47.728,24.537,0.00
2026-07-22 15:33:47.978,24.787,0.00
2026-07-22 15:33:48.229,25.037,0.48
2026-07-22 15:33:48.479,25.288,1.20
2026-07-22 15:33:48.729,25.538,0.72
2026-07-22 15:33:48.980,25.788,0.48
2026-07-22 15:33:49.230,26.039,2.40
2026-07-22 15:33:49.480,26.289,2.40
2026-07-22 15:33:49.731,26.539,1.92
2026-07-22 15:33:49.981,26.790,4.56
2026-07-22 15:33:50.232,27.041,0.00
2026-07-22 15:33:50.482,27.291,19.92
2026-07-22 15:33:50.733,27.542,35.76
