Timestamp,Elapsed_Seconds,RPM
2026-07-22 16:49:15.388,0.250,0.00
2026-07-22 16:49:15.639,0.501,0.00
2026-07-22 16:49:15.890,0.752,0.00
2026-07-22 16:49:16.140,1.002,0.00
2026-07-22 16:49:16.390,1.252,0.00
2026-07-22 16:49:16.641,1.503,0.00
2026-07-22 16:49:16.891,1.753,0.00
2026-07-22 16:49:17.141,2.003,0.00
2026-07-22 16:49:17.392,2.254,0.00
2026-07-22 16:49:17.642,2.504,0.00
2026-07-22 16:49:17.892,2.754,0.00
2026-07-22 16:49:18.143,3.005,12.24
2026-07-22 16:49:18.393,3.255,0.24
2026-07-22 16:49:18.643,3.505,0.00
2026-07-22 16:49:18.894,3.756,0.00
2026-07-22 16:49:19.144,4.006,0.00
2026-07-22 16:49:19.394,4.256,0.00
2026-07-22 16:49:19.645,4.507,0.00
2026-07-22 16:49:19.895,4.757,0.00
2026-07-22 16:49:20.146,5.008,0.00
2026-07-22 16:49:20.397,5.259,0.00
2026-07-22 16:49:20.647,5.509,0.00
2026-07-22 16:49:20.898,5.759,0.00
2026-07-22 16:49:21.148,6.010,0.00
2026-07-22 16:49:21.398,6.260,0.00
2026-07-22 16:49:21.649,6.511,0.00
2026-07-22 16:49:21.899,6.761,0.00
2026-07-22 16:49:22.149,7.011,0.00
2026-07-22 16:49:22.400,7.262,0.00
2026-07-22 16:49:22.650,7.512,0.00
2026-07-22 16:49:22.900,7.762,0.00
2026-07-22 16:49:23.151,8.013,5.04
2026-07-22 16:49:23.401,8.263,102.96
2026-07-22 16:49:23.651,8.513,107.76
2026-07-22 16:49:23.902,8.764,47.28
2026-07-22 16:49:24.152,9.014,37.44
2026-07-22 16:49:24.402,9.264,54.48
2026-07-22 16:49:24.653,9.515,123.36
2026-07-22 16:49:24.903,9.765,111.36
2026-07-22 16:49:25.153,10.015,142.08
2026-07-22 16:49:25.404,10.266,233.28
2026-07-22 16:49:25.655,10.517,235.20
2026-07-22 16:49:25.905,10.767,227.52
2026-07-22 16:49:26.156,11.018,219.84
2026-07-22 16:49:26.406,11.268,232.08
2026-07-22 16:49:26.657,11.519,240.00
2026-07-22 16:49:26.907,11.769,239.52
2026-07-22 16:49:27.158,12.020,245.28
2026-07-22 16:49:27.408,12.270,373.20
2026-07-22 16:49:27.659,12.520,422.64
2026-07-22 16:49:27.909,12.771,420.72
2026-07-22 16:49:28.160,13.022,427.68
2026-07-22 16:49:28.410,13.272,433.92
2026-07-22 16:49:28.660,13.522,420.00
2026-07-22 16:49:28.911,13.773,421.44
2026-07-22 16:49:29.161,14.023,433.92
2026-07-22 16:49:29.412,14.274,415.20
2026-07-22 16:49:29.662,14.524,428.64
2026-07-22 16:49:29.913,14.775,421.68
2026-07-22 16:49:30.163,15.025,411.84
2026-07-22 16:49:30.414,15.276,420.48
2026-07-22 16:49:30.664,15.526,420.96
2026-07-22 16:49:30.914,15.776,416.88
2026-07-22 16:49:31.165,16.027,422.40
2026-07-22 16:49:31.415,16.277,426.00
2026-07-22 16:49:31.665,16.527,414.96
2026-07-22 16:49:31.916,16.778,415.92
2026-07-22 16:49:32.166,17.028,430.56
2026-07-22 16:49:32.416,17.278,410.40
2026-07-22 16:49:32.667,17.529,420.72
2026-07-22 16:49:32.917,17.779,417.36
2026-07-22 16:49:33.167,18.029,406.80
2026-07-22 16:49:33.418,18.280,417.12
2026-07-22 16:49:33.668,18.530,410.64
2026-07-22 16:49:33.918,18.780,413.04
2026-07-22 16:49:34.169,19.031,417.60
2026-07-22 16:49:34.419,19.281,417.60
2026-07-22 16:49:34.669,19.531,416.64
2026-07-22 16:49:34.920,19.782,415.20
2026-07-22 16:49:35.170,20.032,436.08
2026-07-22 16:49:35.420,20.282,441.12
2026-07-22 16:49:35.671,20.533,453.36
2026-07-22 16:49:35.921,20.783,448.32
2026-07-22 16:49:36.172,21.033,454.80
2026-07-22 16:49:36.422,21.284,451.92
2026-07-22 16:49:36.672,21.534,451.92
2026-07-22 16:49:36.923,21.785,447.36
2026-07-22 16:49:37.173,22.035,486.72
2026-07-22 16:49:37.423,22.285,503.04
2026-07-22 16:49:37.674,22.536,515.76
2026-07-22 16:49:37.924,22.786,509.52
2026-07-22 16:49:38.174,23.036,509.04
2026-07-22 16:49:38.425,23.287,516.00
2026-07-22 16:49:38.675,23.537,493.44
2026-07-22 16:49:38.925,23.787,512.40
2026-07-22 16:49:39.176,24.038,538.08
2026-07-22 16:49:39.426,24.288,551.28
2026-07-22 16:49:39.676,24.538,562.08
2026-07-22 16:49:39.927,24.789,560.40
2026-07-22 16:49:40.177,25.039,556.56
2026-07-22 16:49:40.427,25.289,558.48
2026-07-22 16:49:40.678,25.540,560.88
2026-07-22 16:49:40.928,25.790,553.44
2026-07-22 16:49:41.179,26.041,561.36
2026-07-22 16:49:41.429,26.291,554.16
2026-07-22 16:49:41.680,26.542,560.16
2026-07-22 16:49:41.930,26.792,557.28
2026-07-22 16:49:42.181,27.043,558.24
2026-07-22 16:49:42.432,27.294,553.92
2026-07-22 16:49:42.683,27.545,549.36
2026-07-22 16:49:42.934,27.796,554.64
2026-07-22 16:49:43.184,28.046,547.44
2026-07-22 16:49:43.435,28.297,548.40
2026-07-22 16:49:43.685,28.547,555.84
2026-07-22 16:49:43.936,28.798,561.84
2026-07-22 16:49:44.186,29.048,553.68
2026-07-22 16:49:44.437,29.298,561.84
2026-07-22 16:49:44.687,29.549,558.72
2026-07-22 16:49:44.937,29.799,559.20
2026-07-22 16:49:45.188,30.050,551.28
2026-07-22 16:49:45.438,30.300,561.84
2026-07-22 16:49:45.688,30.550,562.32
2026-07-22 16:49:45.939,30.801,555.60
2026-07-22 16:49:46.189,31.051,564.96
2026-07-22 16:49:46.439,31.301,568.80
2026-07-22 16:49:46.690,31.552,558.96
2026-07-22 16:49:46.940,31.802,572.88
2026-07-22 16:49:47.190,32.052,271.44
2026-07-22 16:49:47.441,32.303,8.40
2026-07-22 16:49:47.691,32.553,0.00
2026-07-22 16:49:47.941,32.803,0.00
2026-07-22 16:49:48.192,33.054,0.00
2026-07-22 16:49:48.442,33.304,0.00
2026-07-22 16:49:48.692,33.554,0.00
2026-07-22 16:49:48.943,33.805,0.24
2026-07-22 16:49:49.193,34.055,0.00
2026-07-22 16:49:49.444,34.306,0.00
2026-07-22 16:49:49.694,34.556,0.00
2026-07-22 16:49:49.945,34.807,0.00
2026-07-22 16:49:50.195,35.057,0.00
2026-07-22 16:49:50.446,35.308,0.00
2026-07-22 16:49:50.696,35.558,0.00
2026-07-22 16:49:50.946,35.808,0.00
2026-07-22 16:49:51.197,36.059,0.00
2026-07-22 16:49:51.447,36.309,0.00
2026-07-22 16:49:51.697,36.559,0.00
2026-07-22 16:49:51.958,36.820,0.00
2026-07-22 16:49:52.209,37.071,0.00
2026-07-22 16:49:52.459,37.321,0.00
2026-07-22 16:49:52.709,37.571,0.00
2026-07-22 16:49:52.960,37.822,0.00
2026-07-22 16:49:53.210,38.072,0.00
2026-07-22 16:49:53.461,38.323,0.00
2026-07-22 16:49:53.711,38.573,0.00
2026-07-22 16:49:53.961,38.823,0.00
2026-07-22 16:49:54.212,39.074,0.00
2026-07-22 16:49:54.462,39.324,0.00
2026-07-22 16:49:54.712,39.574,0.00
2026-07-22 16:49:54.963,39.825,0.00
2026-07-22 16:49:55.213,40.075,0.00
2026-07-22 16:49:55.464,40.326,0.00
2026-07-22 16:49:55.714,40.576,0.00
2026-07-22 16:49:55.965,40.827,0.00
2026-07-22 16:49:56.215,41.077,0.00
2026-07-22 16:49:56.466,41.328,0.00
2026-07-22 16:49:56.717,41.579,0.00
2026-07-22 16:49:56.989,41.851,0.00
2026-07-22 16:49:57.239,42.101,0.00
2026-07-22 16:49:57.490,42.352,0.00
2026-07-22 16:49:57.740,42.602,0.00
2026-07-22 16:49:57.991,42.853,0.00
2026-07-22 16:49:58.241,43.103,0.00
2026-07-22 16:49:58.492,43.354,0.00
2026-07-22 16:49:58.745,43.607,0.00
2026-07-22 16:49:58.996,43.858,0.00
2026-07-22 16:49:59.246,44.108,0.00
2026-07-22 16:49:59.497,44.359,0.00
2026-07-22 16:49:59.747,44.609,0.00
2026-07-22 16:49:59.997,44.859,0.00
2026-07-22 16:50:00.248,45.110,0.00
2026-07-22 16:50:00.498,45.360,0.00
2026-07-22 16:50:00.748,45.610,0.00
2026-07-22 16:50:00.999,45.861,0.00
2026-07-22 16:50:01.249,46.111,0.00
2026-07-22 16:50:01.500,46.361,0.00
2026-07-22 16:50:01.750,46.612,0.00
2026-07-22 16:50:02.003,46.865,0.00
2026-07-22 16:50:02.253,47.115,0.00
2026-07-22 16:50:02.504,47.366,0.00
2026-07-22 16:50:02.754,47.616,0.00
2026-07-22 16:50:03.005,47.867,0.00
2026-07-22 16:50:03.255,48.117,0.00
2026-07-22 16:50:03.505,48.367,0.00
2026-07-22 16:50:03.756,48.618,0.00
2026-07-22 16:50:04.006,48.868,0.00
2026-07-22 16:50:04.257,49.119,0.00
2026-07-22 16:50:04.507,49.369,0.00
2026-07-22 16:50:04.758,49.620,0.00
2026-07-22 16:50:05.008,49.870,0.00
2026-07-22 16:50:05.259,50.121,0.00
2026-07-22 16:50:05.510,50.371,0.00
2026-07-22 16:50:05.760,50.622,0.00
2026-07-22 16:50:06.010,50.872,0.00
2026-07-22 16:50:06.261,51.123,0.00
2026-07-22 16:50:06.511,51.373,0.00
2026-07-22 16:50:06.761,51.623,0.00
2026-07-22 16:50:07.021,51.882,0.00
2026-07-22 16:50:07.271,52.133,0.00
2026-07-22 16:50:07.521,52.383,0.00
2026-07-22 16:50:07.772,52.633,0.00
2026-07-22 16:50:08.022,52.884,0.00
2026-07-22 16:50:08.272,53.134,0.00
2026-07-22 16:50:08.523,53.385,0.00
2026-07-22 16:50:08.773,53.635,0.00
2026-07-22 16:50:09.023,53.885,0.00
2026-07-22 16:50:09.274,54.136,0.00
2026-07-22 16:50:09.524,54.386,0.00
2026-07-22 16:50:09.774,54.636,0.00
2026-07-22 16:50:10.025,54.887,0.00
2026-07-22 16:50:10.275,55.137,0.00
2026-07-22 16:50:10.525,55.387,0.00
2026-07-22 16:50:10.776,55.638,0.00
2026-07-22 16:50:11.026,55.888,0.00
2026-07-22 16:50:11.277,56.139,0.00
2026-07-22 16:50:11.527,56.389,0.00
2026-07-22 16:50:11.777,56.639,0.00
2026-07-22 16:50:12.028,56.890,0.00
2026-07-22 16:50:12.278,57.140,0.00
2026-07-22 16:50:12.528,57.390,0.00
2026-07-22 16:50:12.779,57.641,0.00
2026-07-22 16:50:13.029,57.891,0.00
2026-07-22 16:50:13.280,58.142,0.00
2026-07-22 16:50:13.530,58.392,0.00
2026-07-22 16:50:13.780,58.642,0.00
2026-07-22 16:50:14.031,58.893,0.00
2026-07-22 16:50:14.281,59.143,0.00
2026-07-22 16:50:14.531,59.393,0.00
2026-07-22 16:50:14.782,59.644,0.00
2026-07-22 16:50:15.032,59.894,0.00
2026-07-22 16:50:15.282,60.144,0.00
2026-07-22 16:50:15.533,60.395,0.00
2026-07-22 16:50:15.783,60.645,0.00
2026-07-22 16:50:16.033,60.895,0.00
2026-07-22 16:50:16.284,61.146,0.00
2026-07-22 16:50:16.535,61.396,0.00
2026-07-22 16:50:16.785,61.647,0.00
2026-07-22 16:50:17.036,61.897,0.00
2026-07-22 16:50:17.286,62.148,0.00
2026-07-22 16:50:17.536,62.398,0.00
2026-07-22 16:50:17.787,62.649,0.00
2026-07-22 16:50:18.038,62.899,0.00
2026-07-22 16:50:18.288,63.150,0.00
2026-07-22 16:50:18.538,63.400,0.00
2026-07-22 16:50:18.789,63.650,0.00
2026-07-22 16:50:19.039,63.901,0.00
2026-07-22 16:50:19.289,64.151,0.00
2026-07-22 16:50:19.540,64.401,0.00
2026-07-22 16:50:19.790,64.652,0.00
2026-07-22 16:50:20.040,64.902,0.00
2026-07-22 16:50:20.291,65.152,0.00
2026-07-22 16:50:20.541,65.403,0.00
2026-07-22 16:50:20.791,65.653,0.00
2026-07-22 16:50:21.042,65.904,0.00
2026-07-22 16:50:21.292,66.154,0.00
2026-07-22 16:50:21.542,66.404,0.00
2026-07-22 16:50:21.793,66.655,0.00
2026-07-22 16:50:22.043,66.905,0.00
2026-07-22 16:50:22.294,67.155,0.00
2026-07-22 16:50:22.546,67.408,0.00
2026-07-22 16:50:22.797,67.659,0.00
2026-07-22 16:50:23.047,67.909,0.00
2026-07-22 16:50:23.298,68.160,0.00
2026-07-22 16:50:23.548,68.410,0.00
2026-07-22 16:50:23.799,68.661,0.00
2026-07-22 16:50:24.049,68.911,0.00
2026-07-22 16:50:24.299,69.161,0.00
2026-07-22 16:50:24.550,69.412,0.00
2026-07-22 16:50:24.800,69.662,0.00
2026-07-22 16:50:25.050,69.912,0.00
2026-07-22 16:50:25.301,70.163,0.00
2026-07-22 16:50:25.551,70.413,0.00
2026-07-22 16:50:25.801,70.663,0.00
2026-07-22 16:50:26.052,70.914,0.00
2026-07-22 16:50:26.302,71.164,0.00
2026-07-22 16:50:26.553,71.414,0.00
2026-07-22 16:50:26.803,71.665,0.00
2026-07-22 16:50:27.053,71.915,0.00
2026-07-22 16:50:27.304,72.166,0.00
2026-07-22 16:50:27.555,72.417,0.00
2026-07-22 16:50:27.805,72.667,0.00
2026-07-22 16:50:28.056,72.918,0.00
2026-07-22 16:50:28.306,73.168,0.00
2026-07-22 16:50:28.556,73.418,0.00
2026-07-22 16:50:28.807,73.669,0.00
2026-07-22 16:50:29.058,73.919,0.00
2026-07-22 16:50:29.308,74.170,0.00
2026-07-22 16:50:29.559,74.420,0.00
2026-07-22 16:50:29.809,74.671,0.00
2026-07-22 16:50:30.060,74.921,0.00
2026-07-22 16:50:30.310,75.172,0.00
2026-07-22 16:50:30.560,75.422,0.00
2026-07-22 16:50:30.811,75.673,0.00
2026-07-22 16:50:31.061,75.923,0.00
2026-07-22 16:50:31.311,76.173,0.00
2026-07-22 16:50:31.562,76.424,0.00
2026-07-22 16:50:31.812,76.674,0.00
2026-07-22 16:50:32.062,76.924,0.00
2026-07-22 16:50:32.313,77.175,0.00
2026-07-22 16:50:32.563,77.425,0.00
2026-07-22 16:50:32.813,77.675,0.00
2026-07-22 16:50:33.064,77.926,0.00
2026-07-22 16:50:33.314,78.176,0.00
2026-07-22 16:50:33.565,78.426,0.00
2026-07-22 16:50:33.815,78.677,0.00
2026-07-22 16:50:34.065,78.927,0.00
2026-07-22 16:50:34.316,79.178,0.00
2026-07-22 16:50:34.566,79.428,0.00
2026-07-22 16:50:34.816,79.678,0.00
2026-07-22 16:50:35.067,79.929,0.00
2026-07-22 16:50:35.317,80.179,0.00
2026-07-22 16:50:35.568,80.429,0.00
2026-07-22 16:50:35.818,80.680,0.00
2026-07-22 16:50:36.068,80.930,0.00
2026-07-22 16:50:36.319,81.181,0.00
2026-07-22 16:50:36.569,81.431,0.00
2026-07-22 16:50:36.820,81.682,0.00
2026-07-22 16:50:37.071,81.932,0.00
