Timestamp,Elapsed_Seconds,RPM
2026-07-22 17:04:15.554,0.250,0.00
2026-07-22 17:04:15.805,0.501,0.00
2026-07-22 17:04:16.055,0.751,0.00
2026-07-22 17:04:16.306,1.002,0.00
2026-07-22 17:04:16.556,1.252,0.00
2026-07-22 17:04:16.806,1.502,0.00
2026-07-22 17:04:17.057,1.753,0.00
2026-07-22 17:04:17.307,2.003,0.00
2026-07-22 17:04:17.558,2.254,0.00
2026-07-22 17:04:17.808,2.504,0.00
2026-07-22 17:04:18.058,2.754,0.00
2026-07-22 17:04:18.309,3.005,0.00
2026-07-22 17:04:18.559,3.255,0.00
2026-07-22 17:04:18.809,3.505,0.00
2026-07-22 17:04:19.060,3.756,0.00
2026-07-22 17:04:19.310,4.006,0.00
2026-07-22 17:04:19.561,4.257,0.00
2026-07-22 17:04:19.811,4.507,0.00
2026-07-22 17:04:20.062,4.758,0.00
2026-07-22 17:04:20.313,5.008,0.00
2026-07-22 17:04:20.563,5.259,0.00
2026-07-22 17:04:20.814,5.509,0.00
2026-07-22 17:04:21.064,5.760,0.00
2026-07-22 17:04:21.314,6.010,0.00
2026-07-22 17:04:21.565,6.261,0.00
2026-07-22 17:04:21.815,6.511,0.00
2026-07-22 17:04:22.065,6.761,0.00
2026-07-22 17:04:22.316,7.012,0.00
